score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★★★★,5,Directeur Technique Assurance,,Banque & Assurance,Finance & Banque,Manager/Direction,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/finance-audit-assur-banques/3862-directeur-technique-assurance.html,,Finance/Audit/Assur,2026-07-18,2026-07-20,active,
★★★★★,5,Directeur(trice) Juridique & Fiscale Groupe (H/F),YESHI GROUP,Finance & Contrôle de gestion,Finance & Banque,Manager/Direction,Côte d'ivoire,,03 Juillet,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136757-directeur-trice-juridique-fiscale-groupe-h-f,Cadre dirigeant ( Plus de 10 ans ),,2026-07-06,2026-07-20,active,
★★★★★,5,CHEF D'ATELIER MAINTENANCE CONDITIONNEMENT,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Production & Industrie,Ingénierie & Industrie,Senior,"Bouafle, Côte d'ivoire",,19 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bouafle/136736-chef-d-atelier-maintenance-conditionnement,Confirmé / Expérimenté ( 1 à 2 ans ),,2026-06-19,2026-07-20,active,
★★★★★,5,RESPONSABLE MAINTENANCE - CIMENTERIE,YESHI GROUP,Maintenance,Ingénierie & Industrie,Senior,Côte d'ivoire,,26 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136749-responsable-maintenance-cimenterie,Manager / Responsable département ( Plus de 10 ans ),,2026-06-29,2026-07-20,active,
★★★★★,5,Reservoir Engineer,Eni,Ingénierie & Technique,Ingénierie & Industrie,Senior,"Abidjan, Côte d'Ivoire",Contract,2026-07-02,,,LinkedIn,https://ci.linkedin.com/jobs/view/reservoir-engineer-at-eni-4425478922?position=30&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=vfcS8OfsmXlKa1rRmSH1GA%3D%3D,Mid-Senior level,Oil and Gas,2026-06-19,2026-07-20,active,
★★★★★,5,Responsable Maintenance Mécanique – Cimenterie,YESHI GROUP,Ingénierie & Technique,Ingénierie & Industrie,Senior,Côte d'ivoire,,26 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136751-responsable-maintenance-mecanique-cimenterie,Manager / Responsable département ( Plus de 10 ans ),,2026-06-29,2026-07-20,active,
★★★★★,5,Responsable Production – Cimenterie,YESHI GROUP,Production & Industrie,Ingénierie & Industrie,Senior,Côte d'ivoire,,26 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136750-responsable-production-cimenterie,Manager / Responsable département ( Plus de 10 ans ),,2026-06-29,2026-07-20,active,
★★★★★,5,Superviseur Maintenance Mécanique - Cimenterie,YESHI GROUP,Ingénierie & Technique,Ingénierie & Industrie,Senior,Côte d'ivoire,,25 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136747-superviseur-maintenance-mecanique-cimenterie,Responsable d'équipe ( 6 à 10 ans ),,2026-06-29,2026-07-20,active,
★★★★★,5,JURISTE SENIOR CHARGE DES CONTRATS H/F,BOA CI,Juridique & Conformité,Juridique,Senior,"Abidjan, Côte d'ivoire",,12 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136727-juriste-senior-charge-des-contrats-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-20,active,
★★★★★,5,JURISTE SENIOR CHARGE DES CONTRATS H/F,BOA CI,Juridique & Conformité,Juridique,Senior,"Abidjan, Côte d'ivoire",,12 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136722-juriste-senior-charge-des-contrats-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-20,active,
