score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★☆☆☆,2,Stagiaire call center chargé de promouvoir les produits digitaux - Ecobank Côte d'Ivoire,Selego,Relation Client & Support,Relation Client & BPO,Stage,"Marcory, Abidjan, Côte d'Ivoire",Full-time,2026-07-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/stagiaire-call-center-charg%C3%A9-de-promouvoir-les-produits-digitaux-ecobank-c%C3%B4te-d-ivoire-at-selego-4442143494?position=59&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=vM%2FMABuTASafleJqQudXqg%3D%3D,Entry level,IT Services and IT Consulting,2026-07-18,2026-07-18,archive,retirée de la source
★★★☆☆,3,Site Supervisor - Houtbay,TSU Protection Services,Opérations & Supervision,Autres / Généraliste,Confirmé,"Za, Sassandra-Marahoué, Côte d'Ivoire",Full-time,2026-06-20,,,LinkedIn,https://ci.linkedin.com/jobs/view/site-supervisor-houtbay-at-tsu-protection-services-4440233641?position=56&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=Wjtapg0xyB8iXhBY5fKjtQ%3D%3D,Not Applicable,Security and Investigations,2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,Responsable projets construction,GPC SA,BTP & Construction,BTP & Construction,Manager/Direction,"Abidjan, Côte d'Ivoire",Full-time,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-projets-construction-at-gpc-sa-4428241187?position=60&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=WS1f7WjF%2BShI9Of98vKpVw%3D%3D,Director,Construction,2026-06-19,2026-07-18,archive,retirée de la source
★★☆☆☆,2,Research Assistant: Intern,The Aurum Institute,Administration & Assistanat,Administration,Stage,"Za, Sassandra-Marahoué, Côte d'Ivoire",Contract,2026-07-08,,,LinkedIn,https://ci.linkedin.com/jobs/view/research-assistant-intern-at-the-aurum-institute-4438544978?position=12&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=EQALyb4tHsm9TlQD9eNVLw%3D%3D,Not Applicable,Hospitals and Health Care,2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,RESPONSABLE TECHNIQUE,AERODEFI SYSTEMS,Autres métiers,Autres / Généraliste,Senior,"Cocody, Abidjan, Côte d'Ivoire",Full-time,2026-06-25,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-technique-at-aerodefi-systems-4432171776?position=32&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=6AG8C0y9lyjXpEhX6GI5XA%3D%3D,Not Applicable,Motor Vehicle Manufacturing,2026-07-18,2026-07-18,archive,retirée de la source
★★★☆☆,3,Millwright,AFGRI,Autres métiers,BTP & Construction,Confirmé,"Za, Sassandra-Marahoué, Côte d'Ivoire",Full-time,2026-07-03,,,LinkedIn,https://ci.linkedin.com/jobs/view/millwright-at-afgri-4436917333?position=29&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=1aejKcszmPu%2F%2F%2F4XBeLVNg%3D%3D,Not Applicable,"Agriculture, Construction, Mining Machinery Manufacturing",2026-07-06,2026-07-18,archive,retirée de la source
★★★☆☆,3,Mechanic General X4 Global Grade 08,Barloworld Equipment,Autres métiers,Autres / Généraliste,Confirmé,"Za, Sassandra-Marahoué, Côte d'Ivoire",Full-time,2026-07-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/mechanic-general-x4-global-grade-08-at-barloworld-equipment-4439068184?position=10&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=Y6fdsTevs0YVjclnptTLAg%3D%3D,Not Applicable,Machinery Manufacturing,2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,Health Safety Environment Officer,Capital Limited,"Qualité, Hygiène & Sécurité",Ingénierie & Industrie,Confirmé,"Hiré, Gôh-Djiboua, Côte d'Ivoire",Full-time,2026-06-18,,,LinkedIn,https://ci.linkedin.com/jobs/view/health-safety-environment-officer-at-capital-limited-4427863292?position=9&pageNum=2&refId=uEJpDEMHy4NChPtxK1DSCA%3D%3D&trackingId=Q%2B8zVQeMPkJfxuuN9Lcp%2FQ%3D%3D,Associate,Mining,2026-06-19,2026-07-18,archive,retirée de la source
★★★★★,5,Country People Talent Manager,,Ressources Humaines,ONG & Projets,Senior,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/administration-ong-services/4041-country-people-talent-manager.html,,Administration/ONG/Services publiques,2026-06-19,2026-07-18,archive,retirée de la source
★★☆☆☆,2,Contract Commercial Manager,Huawei,Commercial & Vente,Commerce & Vente,Junior,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-07-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/contract-commercial-manager-at-huawei-4439315169?position=54&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=TlPG2hYVR4S8jJM%2F3x91Tg%3D%3D,Entry level,"Law Practice, Law Enforcement, and Business Consulting and Services",2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,Comptable Clien,,Comptabilité,Finance & Banque,Confirmé,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/industrie-production-mat-1eres/4038-comptable-client.html,,Industrie/production/Mat 1eres,2026-06-19,2026-07-18,archive,retirée de la source
★★★★★,5,CHEF D'ATELIER MAINTENANCE CONDITIONNEMENT,Solibra CI,Production & Industrie,Ingénierie & Industrie,Senior,Côte d'Ivoire,Full-time,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/chef-d-atelier-maintenance-conditionnement-at-solibra-ci-4430031085?position=44&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=1rIDg3YMy6bSvaA3FdG1Wg%3D%3D,Not Applicable,Beverage Manufacturing,2026-06-22,2026-07-18,archive,retirée de la source
★★★☆☆,3,Attaché Commercial (H/F),PRECIA MOLEN,Commercial & Vente,Commerce & Vente,Confirmé,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-07-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/attach%C3%A9-commercial-h-f-at-precia-molen-4442109644?position=43&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=4FV7wtBdBDLN43nYxoGgXQ%3D%3D,Not Applicable,Machinery Manufacturing,2026-07-18,2026-07-18,archive,retirée de la source
