score_etoiles,score_dc,titre,entreprise,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,niveau_source,secteur_source,source,url,date_collecte
★★★★★,5,Directeur Developpemen,,Finance & Banque,Manager/Direction,Côte d'Ivoire,,,,,,Finance/Audit/Assur,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/finance-audit-assur-banques/3955-directeur-developpement.html,2026-06-19
★★★★★,5,Responsable Tresorerie,,Finance & Banque,Senior,Côte d'Ivoire,,,,,,Industrie/production/Mat 1eres,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/industrie-production-mat-1eres/3960-responsable-tresorerie.html,2026-06-19
★★★★★,5,CHEF D'ATELIER MAINTENANCE CONDITIONNEMENT,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Ingénierie & Industrie,Senior,"Bouafle, Côte d'ivoire",,Aujourd'hui,,,Confirmé / Expérimenté ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bouafle/136736-chef-d-atelier-maintenance-conditionnement,2026-06-19
★★★★★,5,JURISTE SENIOR CHARGE DES CONTRATS H/F,BOA CI,Juridique,Senior,"Abidjan, Côte d'ivoire",,12 Juin,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136727-juriste-senior-charge-des-contrats-h-f,2026-06-19
★★★★★,5,Chef de Projet Senior SAP S/4HANA – Business One (H/F),YESHI GROUP,ONG & Projets,Senior,Côte d'ivoire,,17 Mai,,,Cadre dirigeant ( 6 à 10 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136691-chef-de-projet-senior-sap-s-4hana-business-one-h-f,2026-06-19
★★★★★,5,Country People Talent Manager,,Ressources Humaines,Senior,Côte d'Ivoire,,,,,,Administration/ONG/Services publiques,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/administration-ong-services/4041-country-people-talent-manager.html,2026-06-19
★★★★★,5,Directeur Ressources Humaines,,Ressources Humaines,Manager/Direction,Côte d'Ivoire,,,,,,Industrie/production/Mat 1eres,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/industrie-production-mat-1eres/4037-directeur-ressources-humaines.html,2026-06-19
★★★★★,5,RESPONSABLE RESSOURCES HUMAINES ET JURIDIQUE,,Ressources Humaines,Senior,Côte d'Ivoire,,19/06/2026,27/07/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151380-responsable-ressources-humaines-et-juridique.html,2026-06-19
★★★★☆,4,Office Manager Bilingue,,Administration,Senior,Côte d'Ivoire,,,,,,Services,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/services/4030-office-manager-bilingue.html,2026-06-19
★★★★☆,4,Responsable Administratif,,Administration,Senior,Côte d'Ivoire,,,,,,Services,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/services/4028-responsable-administratif.html,2026-06-19
★★★★☆,4,DIRECTEUR D'AGENCE,BOA CI,Autres / Généraliste,Manager/Direction,"Abidjan, Côte d'ivoire",,12 Juin,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136726-directeur-d-agence,2026-06-19
★★★★☆,4,MANAGER EXPAT,,Autres / Généraliste,Senior,Côte d'Ivoire,,19/06/2026,29/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151403-manager-expat.html,2026-06-19
★★★★☆,4,Responsable Moyens Généraux Groupe (H/F),YESHI GROUP,Autres / Généraliste,Senior,Côte d'ivoire,,09 Avril,,,Manager / Responsable département ( 6 à 10 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136663-responsable-moyens-generaux-groupe-h-f,2026-06-19
★★★★☆,4,Responsable de magasin / Responsable opérationnel (H/F),ACF COMPUTER STORE,Autres / Généraliste,Senior,Côte d'ivoire,,15 Juin,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136732-responsable-de-magasin-responsable-operationnel-h-f,2026-06-19
★★★★☆,4,Superviseurs expérimentés (Profil masculin),,Autres / Généraliste,Senior,Côte d'Ivoire,,19/06/2026,30/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151386-recrutement-superviseurs-experimentes-profil-masculin.html,2026-06-19
★★★★☆,4,SUPERVISEUR CHANTIERS,,BTP & Construction,Senior,Côte d'Ivoire,,19/06/2026,27/07/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151381-superviseur-chantiers.html,2026-06-19
★★★★☆,4,01 CHARGE DE CLIENTELE SENIOR PME H/F,BOA CI,Commerce & Vente,Senior,"Abidjan, Côte d'ivoire",,12 Juin,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136720-01-charge-de-clientele-senior-pme-h-f,2026-06-19
★★★★☆,4,01 ANALYSTE CREDIT H/F,BOA CI,Finance & Banque,Confirmé,"Abidjan, Côte d'ivoire",,12 Juin,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136719-01-analyste-credit-h-f,2026-06-19
★★★★☆,4,ASSISTANTE ADMINISTRATIVE ET COMPTABLE,,Finance & Banque,Confirmé,Côte d'Ivoire,,19/06/2026,29/07/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151396-assistante-administrative-et-comptable.html,2026-06-19
★★★★☆,4,COMPTABLE,,Finance & Banque,Confirmé,Côte d'Ivoire,,19/06/2026,27/07/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151379-comptable.html,2026-06-19
★★★★☆,4,CONTROLEUR,,Finance & Banque,Confirmé,Côte d'Ivoire,,19/06/2026,29/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151402-controleur.html,2026-06-19
★★★★☆,4,Comptable Clien,,Finance & Banque,Confirmé,Côte d'Ivoire,,,,,,Industrie/production/Mat 1eres,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/industrie-production-mat-1eres/4038-comptable-client.html,2026-06-19
★★★★☆,4,Controleur Gestion,,Finance & Banque,Confirmé,Côte d'Ivoire,,,,,,NTIC,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/ntic/4016-controleur-gestion.html,2026-06-19
★★★★☆,4,DIRECTEUR D'HOTEL H/F,,Hôtellerie & Tourisme,Manager/Direction,Côte d'Ivoire,,19/06/2026,29/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151388-directeur-d-hotel-h-f.html,2026-06-19
★★★★☆,4,Charge Hse,,Ingénierie & Industrie,Confirmé,Côte d'Ivoire,,,,,,Achat/Logistique/Transport,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/achat-logistique-transport/4023-charge-hse.html,2026-06-19
★★★★☆,4,INGÉNIEUR ÉLECTROTECHNIQUE ET MÉCANIQUE H/F,,Ingénierie & Industrie,Confirmé,Côte d'Ivoire,,19/06/2026,29/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151387-ingenieur-electrotechnique-et-mecanique-h-f.html,2026-06-19
★★★★☆,4,OPERATEUR MACHINE H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Ingénierie & Industrie,Confirmé,"Abidjan, Côte d'ivoire",,01 Juin,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136713-operateur-machine-h-f,2026-06-19
★★★★☆,4,Chef de Quai H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Achats,Senior,"Abidjan, Côte d'ivoire",,22 Mai,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136697-chef-de-quai-h-f,2026-06-19
★★★★☆,4,Responsable Chaine Logistique,,Logistique & Achats,Senior,Côte d'Ivoire,,,,,,Industrie/production/Mat 1eres,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/industrie-production-mat-1eres/4029-responsable-chaine-logistique.html,2026-06-19
★★★★☆,4,BRAND CARE,,Marketing & Communication,Confirmé,Côte d'Ivoire,,19/06/2026,29/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151406-brand-care.html,2026-06-19
★★★★☆,4,Chargé(e) des Ressources Humaines (CRH) – Entité BTP (H/F),YESHI GROUP,Ressources Humaines,Confirmé,Côte d'ivoire,,30 Avril,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136683-charge-e-des-ressources-humaines-crh-entite-btp-h-f,2026-06-19
★★★★☆,4,Administrateur Systemes Unix,,Tech & Digital,Confirmé,Côte d'Ivoire,,,,,,NTIC,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/ntic/4040-administrateur-systemes-unix.html,2026-06-19
★★★★☆,4,Chef Produit Digita,,Tech & Digital,Confirmé,Côte d'Ivoire,,,,,,NTIC,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/ntic/3817-chef-produit-digital.html,2026-06-19
★★★★☆,4,Commercial B2B – Télécoms H/F,ACS TELECOM,Tech & Digital,Confirmé,Côte d'ivoire,,22 Avril,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136677-commercial-b2b-telecoms-h-f,2026-06-19
★★★★☆,4,DESIGNER UI/UX & INFOGRAPHISTE,,Tech & Digital,Confirmé,Côte d'Ivoire,,19/06/2026,24/07/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151394-designer-ui-ux-infographiste.html,2026-06-19
★★★★☆,4,Data Scientist,YESHI GROUP,Tech & Digital,Confirmé,Côte d'ivoire,,17 Mai,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136692-data-scientist,2026-06-19
